Designator,Mid X,Mid Y,Rotation,Layer
BTN1,157.86,-86.0825,270,top
C10,154.16,-60.105,180,top
C11,165.88,-63.355,270,top
C13,156.1,-66.435,270,top
C15,151.235,-53.8575,90,top
C16,156.63,-97.875,0,top
C17,150.61,-79.045,270,top
C18,159.37,-54.705,270,top
C19,162.12,-55.115,45,top
C2,149.3925,-101.9025,180,top
C20,148.28,-79.095,270,top
C22,156.64,-91.475,0,top
C25,156.05,-53.71,90,top
C26,157.19,-53.69,90,top
C3,147.17,-79.095,270,top
C31,166.791473,-53.755,90,top
C32,159.06,-71.885,90,top
C33,169.21,-62.915,0,top
C35,149.5,-79.055,270,top
C36,149.89,-107.775,270,top
C37,150.02,-64.29,270,top
C38,149.56,-60.93,180,top
C39,166.41,-56.875,0,top
C4,169.08,-58.035,0,top
C40,166.41,-57.875,0,top
C6,156.64,-96.675,0,top
C7,153.3,-70,180,top
C8,151.84,-100.54,180,top
D1,151.8,-108.2075,90,top
D2,156.45,-74.7275,90,top
D3,148.8175,-53.0825,270,top
D4,153.98,-94.065,0,top
DNP1,164.48,-56.035,315,top
FLASH1,165.56,-85.8625,270,top
J1,160.01,-105.775,0,top
J2,143.9775,-105.3525,180,top
J3,143.81,-76.77,0,top
J5,174.05,-76.81,0,top
L3,160.87,-54.265,0,top
L6,165.19,-54.655,45,top
Q1,152.33,-98.0125,90,top
R1,153.32,-104.615,270,top
R12,149.9,-99.04,90,top
R14,157.66,-99.035,0,top
R15,152.3525,-101.9225,0,top
R16,156.45,-77.025,180,top
R17,162.35,-99.045,180,top
R18,159.4,-95.89,90,top
R19,149.89,-97.01,90,top
R2,160.5,-95.88,90,top
R20,154.83,-97.64,90,top
R21,164.12,-81.2525,180,top
R22,147.37,-81.3825,180,top
R23,165.89,-59.09,180,top
R24,167.65,-63.45,270,top
R25,150.66,-52.26,0,top
R26,161.02,-66.125,315,top
R27,155.13,-65.105,225,top
R28,158.75,-69.715,0,top
R29,158.175,-66.425,270,top
R30,157.17,-66.435,270,top
R4,156.455,-81.4225,180,top
RESET1,149.81,-86.095,270,top
U1,160.45,-60.965,0,top
U2,164.83,-70.295,90,top
U3,150.8325,-104.575,90,top
U4,150.59,-74.155,0,top
Y1,151.77,-62.39,270,top
Y2,169.08,-60.41,270,top